date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2024-05-10,744719.8307099994,87963.83070999943,656756.0,bull,5d_10%,2,False,0.01854904174882943,1000000.0,2024-2025
2024-05-13,711838.2878499995,375358.28784999944,336480.0,bull,5d_10%,1,False,-0.04415290355387935,1000000.0,2024-2025
2024-05-14,709063.4354299994,709063.4354299994,0.0,bull,5d_10%,0,False,-0.0038981499974961586,1000000.0,2024-2025
2024-05-15,709063.4354299994,709063.4354299994,0.0,bull,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-05-16,709063.4354299994,709063.4354299994,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-05-17,656745.6578299993,141574.65782999934,515171.0,bull,5d_10%,2,False,-0.07378433999811707,1000000.0,2024-2025
2024-05-20,693676.7494399993,410233.74943999934,283443.0,bull,5d_10%,1,False,0.05623347664303813,1000000.0,2024-2025
2024-05-21,712219.7494399993,410233.74943999934,301986.0,recovery,5d_10%,1,False,0.026731471128259132,1000000.0,2024-2025
2024-05-22,719903.4638399993,81895.46383999931,638008.0,bull,5d_10%,3,False,0.010788404008792885,1000000.0,2024-2025
2024-05-23,735518.5413399993,16485.541339999305,719033.0,bull,5d_10%,4,False,0.02169051585987436,1000000.0,2024-2025
2024-05-24,712346.3162999992,464580.31629999925,247766.0,recovery,5d_10%,2,False,-0.031504610336245076,1000000.0,2024-2025
2024-05-27,690852.3162999992,464580.31629999925,226272.0,recovery,5d_10%,2,False,-0.030173525865399342,1000000.0,2024-2025
2024-05-28,682016.5752699992,682016.5752699992,0.0,recovery,5d_10%,0,False,-0.01278962351508306,1000000.0,2024-2025
2024-05-29,682016.5752699992,682016.5752699992,0.0,recovery,5d_10%,0,False,0.0,1000000.0,2024-2025
2024-05-30,694992.7772699993,477290.7772699992,217702.0,sideways,5d_10%,2,False,0.019026226737763663,1000000.0,2024-2025
2024-05-31,688862.7772699993,477290.7772699992,211572.0,sideways,5d_10%,2,False,-0.008820235548460342,1000000.0,2024-2025
2024-06-03,696809.8625199993,401805.86251999927,295004.0,sideways,5d_10%,2,False,0.011536528772094101,1000000.0,2024-2025
2024-06-04,717674.8249699993,348970.82496999926,368704.0,sideways,5d_10%,2,False,0.029943552139951368,1000000.0,2024-2025
2024-06-05,760524.7383699992,244152.73836999925,516372.0,sideways,5d_10%,3,False,0.05970658564175113,1000000.0,2024-2025
2024-06-06,732298.7383699992,244152.73836999925,488146.0,sideways,5d_10%,3,False,-0.0371138486047089,1000000.0,2024-2025
2024-06-07,753952.7383699992,244152.73836999925,509800.0,sideways,5d_10%,3,False,0.029569899366751473,1000000.0,2024-2025
2024-06-11,776698.8997499992,430961.8997499992,345737.0,sideways,5d_10%,2,False,0.030169213827879737,1000000.0,2024-2025
2024-06-12,773812.5239499994,419841.5239499993,353971.0,sideways,5d_10%,3,False,-0.0037162094615157404,1000000.0,2024-2025
2024-06-13,784443.5239499994,419841.5239499993,364602.0,sideways,5d_10%,3,False,0.013738469811438447,1000000.0,2024-2025
2024-06-14,796741.8618499993,353408.8618499993,443333.0,sideways,5d_10%,3,False,0.015677786258050386,1000000.0,2024-2025
2024-06-17,777472.8618499993,353408.8618499993,424064.0,sideways,5d_10%,3,False,-0.024184746556755843,1000000.0,2024-2025
2024-06-18,772020.4300799991,477409.4300799992,294611.0,sideways,5d_10%,2,False,-0.00701301876573035,1000000.0,2024-2025
2024-06-19,778544.2094799991,399260.20947999915,379284.0,sideways,5d_10%,2,False,0.008450267824290592,1000000.0,2024-2025
2024-06-20,783526.2094799991,399260.20947999915,384266.0,sideways,5d_10%,2,False,0.006399122797827506,1000000.0,2024-2025
2024-06-21,808353.5994799992,279404.59947999916,528949.0,sideways,5d_10%,3,False,0.03168673836255853,1000000.0,2024-2025
2024-06-24,812470.5994799992,279404.59947999916,533066.0,bear,5d_10%,3,False,0.005093068185319405,1000000.0,2024-2025
2024-06-25,820516.956879999,451159.956879999,369357.0,bear,5d_10%,3,False,0.009903567470810337,1000000.0,2024-2025
2024-06-26,824816.6385599991,719408.6385599991,105408.0,bear,5d_10%,1,False,0.005240210630563347,1000000.0,2024-2025
2024-06-27,829778.218159999,503420.218159999,326358.0,bear,5d_10%,3,False,0.006015372833242161,1000000.0,2024-2025
2024-06-28,817948.218159999,503420.218159999,314528.0,bear,5d_10%,3,False,-0.01425682157122965,1000000.0,2024-2025
2024-07-01,805751.752559999,423863.752559999,381888.0,sideways,5d_10%,3,False,-0.014911048559328566,1000000.0,2024-2025
2024-07-02,822974.528679999,450181.52867999906,372793.0,bear,5d_10%,2,False,0.02137479200669512,1000000.0,2024-2025
2024-07-03,844433.976679999,314965.97667999903,529468.0,bear,5d_10%,3,False,0.02607547044550662,1000000.0,2024-2025
2024-07-04,834434.976679999,314965.97667999903,519469.0,bear,5d_10%,3,False,-0.011841067834944763,1000000.0,2024-2025
2024-07-05,836698.976679999,314965.97667999903,521733.0,bear,5d_10%,3,False,0.0027132132080653903,1000000.0,2024-2025
2024-07-08,819069.016319999,670525.016319999,148544.0,bear,5d_10%,1,False,-0.02107085206432935,1000000.0,2024-2025
2024-07-09,834115.630519999,469197.63051999896,364918.0,sideways,5d_10%,2,False,0.018370386255853077,1000000.0,2024-2025
2024-07-10,822019.2697199989,442672.26971999893,379347.0,bear,5d_10%,2,False,-0.014502019093514673,1000000.0,2024-2025
2024-07-11,812305.7120599989,444299.7120599989,368006.0,sideways,5d_10%,3,False,-0.011816703108807558,1000000.0,2024-2025
2024-07-12,834093.7120599989,444299.7120599989,389794.0,sideways,5d_10%,3,False,0.026822413872661155,1000000.0,2024-2025
2024-07-15,849822.7120599989,444299.7120599989,405523.0,sideways,5d_10%,3,False,0.01885759330465797,1000000.0,2024-2025
2024-07-16,861274.1578199989,534334.1578199989,326940.0,sideways,5d_10%,2,False,0.013475099685487768,1000000.0,2024-2025
2024-07-17,850390.8898199989,534940.8898199989,315450.0,sideways,5d_10%,2,False,-0.012636241202855891,1000000.0,2024-2025
2024-07-18,843338.5624999988,436588.56249999884,406750.0,sideways,5d_10%,2,False,-0.008293041946266344,1000000.0,2024-2025
2024-07-19,865364.5624999988,436588.56249999884,428776.0,sideways,5d_10%,2,False,0.026117624616507573,1000000.0,2024-2025
2024-07-22,887390.5624999988,436588.56249999884,450802.0,sideways,5d_10%,2,False,0.025452856465912888,1000000.0,2024-2025
2024-07-23,909416.5624999988,436588.56249999884,472828.0,sideways,5d_10%,2,False,0.02482108885398482,1000000.0,2024-2025
2024-07-24,922126.2979999989,501351.2979999989,420775.0,sideways,5d_10%,2,False,0.013975702691251701,1000000.0,2024-2025
2024-07-25,947768.9283999989,509636.9283999989,438132.0,sideways,5d_10%,2,False,0.027808154322912504,1000000.0,2024-2025
2024-07-26,944409.9283999989,509636.9283999989,434773.0,sideways,5d_10%,2,False,-0.0035441128099341634,1000000.0,2024-2025
2024-07-29,950467.0320599988,503718.03205999883,446749.0,sideways,5d_10%,2,False,0.0064136382706836415,1000000.0,2024-2025
2024-07-30,983330.0320599988,503718.03205999883,479612.0,sideways,5d_10%,2,False,0.03457563375846329,1000000.0,2024-2025
2024-07-31,1011121.4962599989,533258.4962599989,477863.0,sideways,5d_10%,2,False,0.028262600850071706,1011121.4962599989,2024-2025
2024-08-01,1047846.4962599989,533258.4962599989,514588.0,sideways,5d_10%,2,False,0.03632105551690956,1047846.4962599989,2024-2025
2024-08-02,1073332.8368599988,373312.8368599989,700020.0,sideways,5d_10%,3,False,0.024322589893621238,1073332.8368599988,2024-2025
2024-08-05,1112323.5743799987,607813.5743799988,504510.0,sideways,5d_10%,2,False,0.036326790890015115,1112323.5743799987,2024-2025
2024-08-06,1125351.904029999,596717.9040299988,528634.0,sideways,5d_10%,2,False,0.011712715571331911,1125351.904029999,2024-2025
2024-08-07,1132764.2044299988,615158.2044299988,517606.0,sideways,5d_10%,3,False,0.006586651138595467,1132764.2044299988,2024-2025
2024-08-08,1138519.2001699987,739769.2001699987,398750.0,bear,5d_10%,2,False,0.005080488699672259,1138519.2001699987,2024-2025
2024-08-09,1128370.2001699987,739769.2001699987,388601.0,bear,5d_10%,2,False,-0.008914210668106937,1138519.2001699987,2024-2025
2024-08-12,1116447.8522699988,864459.8522699986,251988.0,bear,5d_10%,1,False,-0.010565989688671062,1138519.2001699987,2024-2025
2024-08-13,1129333.2204699987,1129333.2204699987,0.0,bear,5d_10%,0,False,0.011541397275117715,1138519.2001699987,2024-2025
2024-08-14,1129333.2204699987,1129333.2204699987,0.0,bear,5d_10%,0,False,0.0,1138519.2001699987,2024-2025
2024-08-15,1129333.2204699987,1129333.2204699987,0.0,bear,5d_10%,0,False,0.0,1138519.2001699987,2024-2025
2024-08-16,1129333.2204699987,1129333.2204699987,0.0,bear,5d_10%,0,False,0.0,1138519.2001699987,2024-2025
2024-08-19,1105667.2351699986,791213.2351699986,314454.0,bear,5d_10%,2,False,-0.020955715169833522,1138519.2001699987,2024-2025
2024-08-20,1136809.2351699986,791213.2351699986,345596.0,bear,5d_10%,2,False,0.02816579799908059,1138519.2001699987,2024-2025
2024-08-21,1144207.2351699986,791213.2351699986,352994.0,sideways,5d_10%,2,False,0.00650768816009295,1144207.2351699986,2024-2025
2024-08-22,1152889.6723699986,553548.6723699986,599341.0,sideways,5d_10%,3,False,0.007588168413137142,1152889.6723699986,2024-2025
2024-08-23,1160042.3944599987,500365.3944599986,659677.0,sideways,5d_10%,3,False,0.006204168760828743,1160042.3944599987,2024-2025
2024-08-26,1187773.0512599987,523196.0512599987,664577.0,sideways,5d_10%,3,False,0.023904864970826,1187773.0512599987,2024-2025
2024-08-27,1206409.6552799987,507812.6552799986,698597.0,sideways,5d_10%,3,False,0.015690374520814565,1206409.6552799987,2024-2025
2024-08-28,1253131.6552799987,507812.6552799986,745319.0,bear,5d_10%,3,False,0.038728138319778393,1253131.6552799987,2024-2025
2024-08-29,1286698.2400799985,795857.2400799986,490841.0,bear,5d_10%,2,False,0.026786159824922606,1286698.2400799985,2024-2025
2024-08-30,1311903.8780799988,556806.8780799987,755097.0,sideways,5d_10%,3,False,0.01958939339066257,1311903.8780799988,2024-2025
2024-09-02,1367224.2172799986,613352.2172799986,753872.0,sideways,5d_10%,3,False,0.04216798206356587,1367224.2172799986,2024-2025
2024-09-03,1417481.7714799987,876458.7714799986,541023.0,sideways,5d_10%,2,False,0.036758823874539104,1417481.7714799987,2024-2025
2024-09-04,1434041.7714799987,876458.7714799986,557583.0,sideways,5d_10%,2,False,0.011682689917563938,1434041.7714799987,2024-2025
2024-09-05,1454114.5260799986,1102853.5260799986,351261.0,sideways,5d_10%,1,False,0.013997329087062749,1454114.5260799986,2024-2025
2024-09-06,1489268.5260799986,1102853.5260799986,386415.0,bear,5d_10%,1,False,0.02417553732495059,1489268.5260799986,2024-2025
2024-09-09,1450047.4500799985,1450047.4500799985,0.0,bear,5d_10%,0,False,-0.026335798624064433,1489268.5260799986,2024-2025
2024-09-10,1450047.4500799985,1450047.4500799985,0.0,bear,5d_10%,0,False,0.0,1489268.5260799986,2024-2025
2024-09-11,1409942.0280799984,1014542.0280799984,395400.0,bear,5d_10%,1,False,-0.02765800663818785,1489268.5260799986,2024-2025
2024-09-12,1421646.7240799984,710066.7240799984,711580.0,bear,5d_10%,2,False,0.008301544153513252,1489268.5260799986,2024-2025
2024-09-13,1426595.9766799984,1122515.9766799984,304080.0,bear,5d_10%,1,False,0.00348135195345578,1489268.5260799986,2024-2025
2024-09-18,1410871.9998799984,1410871.9998799984,0.0,bear,5d_10%,0,False,-0.011022025196365082,1489268.5260799986,2024-2025
2024-09-19,1410871.9998799984,1410871.9998799984,0.0,bear,5d_10%,0,False,0.0,1489268.5260799986,2024-2025
2024-09-20,1410871.9998799984,1410871.9998799984,0.0,bear,5d_10%,0,False,0.0,1489268.5260799986,2024-2025
2024-09-23,1395081.8866799984,987157.8866799984,407923.99999999994,bear,5d_10%,1,False,-0.011191740428148744,1489268.5260799986,2024-2025
2024-09-24,1400161.8866799984,987157.8866799984,413004.00000000006,recovery,5d_10%,1,False,0.003641363312435697,1489268.5260799986,2024-2025
2024-09-25,1388440.0762399985,1388440.0762399985,0.0,recovery,5d_10%,0,False,-0.008371753688992456,1489268.5260799986,2024-2025
2024-09-26,1388440.0762399985,1388440.0762399985,0.0,recovery,5d_10%,0,False,0.0,1489268.5260799986,2024-2025
2024-09-27,1388440.0762399985,1388440.0762399985,0.0,recovery,5d_10%,0,False,0.0,1489268.5260799986,2024-2025
2024-09-30,1388440.0762399985,1388440.0762399985,0.0,recovery,5d_10%,0,False,0.0,1489268.5260799986,2024-2025
