window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2024-2025,sideways,5d_10%,001387.SZ,stop_loss,2024-04-12,2024-04-15,25.84,24.548,-0.05,-0.0531,9800,0.0031
2024-2025,sideways,5d_10%,000809.SZ,stop_loss,2024-04-15,2024-04-16,1.57,1.4915,-0.05,-0.0531,158700,0.0031
2024-2025,sideways,5d_10%,000908.SZ,stop_loss,2024-04-16,2024-04-23,1.59,1.5105,-0.05,-0.0531,154200,0.0031
2024-2025,recovery,5d_10%,000691.SZ,stop_loss,2024-04-25,2024-04-26,4.96,4.712,-0.05,-0.0531,24300,0.0031
2024-2025,recovery,5d_10%,000615.SZ,matured,2024-04-25,2024-05-07,2.36,2.51,0.06355932203389836,0.06045932203389836,51100,0.0031
2024-2025,bull,5d_10%,000809.SZ,stop_loss,2024-05-09,2024-05-10,2.18,2.071,-0.05,-0.0531,147700,0.0031
2024-2025,bull,5d_10%,000504.SZ,stop_loss,2024-05-09,2024-05-13,10.17,9.6615,-0.05,-0.0531,31600,0.0031
2024-2025,bull,5d_10%,002481.SZ,stop_loss,2024-05-10,2024-05-14,5.02,4.768999999999999,-0.05,-0.0531,74300,0.0031
2024-2025,bull,5d_10%,002148.SZ,stop_loss,2024-05-17,2024-05-20,5.89,5.5954999999999995,-0.05,-0.0531,51000,0.0031
2024-2025,recovery,5d_10%,000908.SZ,stop_loss,2024-05-22,2024-05-24,2.07,1.9664999999999997,-0.05,-0.0531,84000,0.0031
2024-2025,recovery,5d_10%,000560.SZ,matured,2024-05-17,2024-05-24,3.21,3.32,0.03426791277258556,0.031167912772585564,93600,0.0031
2024-2025,recovery,5d_10%,000620.SZ,stop_loss,2024-05-22,2024-05-28,2.44,2.318,-0.05,-0.0531,71200,0.0031
2024-2025,recovery,5d_10%,000609.SZ,stop_loss,2024-05-23,2024-05-28,1.95,1.8524999999999998,-0.05,-0.0531,35500,0.0031
2024-2025,sideways,5d_10%,000793.SZ,stop_loss,2024-05-30,2024-06-03,0.87,0.8265,-0.05,-0.0531,124600,0.0031
2024-2025,sideways,5d_10%,002717.SZ,stop_loss,2024-05-30,2024-06-04,1.15,1.0924999999999998,-0.05,-0.0531,94200,0.0031
2024-2025,sideways,5d_10%,003026.SZ,stop_loss,2024-06-06,2024-06-14,34.0,32.3,-0.05,-0.0531,6200,0.0031
2024-2025,sideways,5d_10%,002168.SZ,matured,2024-06-07,2024-06-17,2.31,2.35,0.017316017316017396,0.014216017316017395,64900,0.0031
2024-2025,sideways,5d_10%,000908.SZ,stop_loss,2024-06-14,2024-06-18,1.19,1.1304999999999998,-0.05,-0.0531,112100,0.0031
2024-2025,sideways,5d_10%,000972.SZ,matured,2024-06-11,2024-06-18,2.37,2.39,0.00843881856540074,0.0053388185654007405,44300,0.0031
2024-2025,sideways,5d_10%,002131.SZ,stop_loss,2024-06-17,2024-06-20,1.5,1.4249999999999998,-0.05,-0.0531,92700,0.0031
2024-2025,bear,10d_15%,000609.SZ,matured,2024-06-18,2024-06-25,1.68,2.07,0.23214285714285698,0.229042857142857,49600,0.0031
2024-2025,bear,10d_15%,000506.SZ,matured,2024-06-18,2024-06-25,1.04,1.14,0.09615384615384603,0.09305384615384603,80200,0.0031
2024-2025,bear,10d_15%,000609.SZ,stop_loss,2024-06-25,2024-06-26,2.16,2.052,-0.05,-0.0531,77500,0.0031
2024-2025,sideways,5d_10%,002717.SZ,matured,2024-06-24,2024-07-01,0.77,0.97,0.2597402597402596,0.2566402597402596,203100,0.0031
2024-2025,bear,10d_15%,000506.SZ,stop_loss,2024-06-27,2024-07-02,1.01,0.9594999999999999,-0.05,-0.0531,163300,0.0031
2024-2025,bear,10d_15%,002717.SZ,stop_loss,2024-07-02,2024-07-08,1.08,1.026,-0.05,-0.0531,156400,0.0031
2024-2025,bear,10d_15%,000615.SZ,matured,2024-07-01,2024-07-08,2.08,1.98,-0.04807692307692313,-0.05117692307692313,83800,0.0031
2024-2025,sideways,5d_10%,000908.SZ,matured,2024-07-08,2024-07-15,0.92,1.12,0.21739130434782616,0.21429130434782617,234700,0.0031
2024-2025,sideways,5d_10%,002829.SZ,stop_loss,2024-07-11,2024-07-18,17.38,16.511,-0.05,-0.0531,8600,0.0031
2024-2025,sideways,5d_10%,000809.SZ,stop_loss,2024-07-15,2024-07-18,2.11,2.0044999999999997,-0.05,-0.0531,43800,0.0031
2024-2025,sideways,5d_10%,000908.SZ,matured,2024-07-15,2024-07-22,1.18,1.44,0.22033898305084754,0.21723898305084755,78300,0.0031
2024-2025,sideways,5d_10%,000506.SZ,stop_loss,2024-07-22,2024-07-23,1.28,1.216,-0.05,-0.0531,90600,0.0031
