date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2022-09-05,2481487.2935799966,1319698.2935799966,1161789.0,bear,10d_15%,3,False,0.00757268498232011,2497969.129279997,2022 Bear
2022-09-06,2457276.750199997,1586241.7501999966,871035.0,sideways,5d_10%,2,False,-0.009756464779262064,2497969.129279997,2022 Bear
2022-09-07,2412737.6220499966,2124647.6220499966,288090.0,sideways,5d_10%,1,False,-0.018125401685575415,2497969.129279997,2022 Bear
2022-09-08,2421185.6220499966,2124647.6220499966,296538.0,bear,10d_15%,1,False,0.0035014167818305797,2497969.129279997,2022 Bear
2022-09-09,2436959.6220499966,2124647.6220499966,312312.0,sideways,5d_10%,1,False,0.0065149899521723675,2497969.129279997,2022 Bear
2022-09-13,2449441.9380499967,2449441.9380499967,0.0,sideways,5d_10%,0,False,0.005122085687041311,2497969.129279997,2022 Bear
2022-09-14,2449441.9380499967,2449441.9380499967,0.0,sideways,5d_10%,0,False,0.0,2497969.129279997,2022 Bear
2022-09-15,2449441.9380499967,2449441.9380499967,0.0,bear,10d_15%,0,False,0.0,2497969.129279997,2022 Bear
2022-09-16,2449441.9380499967,2449441.9380499967,0.0,bear,10d_15%,0,False,0.0,2497969.129279997,2022 Bear
2022-09-19,2449441.9380499967,2449441.9380499967,0.0,bear,10d_15%,0,False,0.0,2497969.129279997,2022 Bear
2022-09-20,2449441.9380499967,2449441.9380499967,0.0,bear,10d_15%,0,False,0.0,2497969.129279997,2022 Bear
2022-09-21,2449441.9380499967,2449441.9380499967,0.0,bear,10d_15%,0,False,0.0,2497969.129279997,2022 Bear
2022-09-22,2381827.917149997,1715395.9171499969,666432.0,bear,10d_15%,1,False,-0.02760384716603137,2497969.129279997,2022 Bear
2022-09-23,2446837.1747499965,1201080.1747499967,1245757.0,bear,10d_15%,2,False,0.027293851554896165,2497969.129279997,2022 Bear
2022-09-26,2447020.1747499965,1201080.1747499967,1245940.0,bear,10d_15%,2,False,7.479042818570036e-05,2497969.129279997,2022 Bear
2022-09-27,2481494.1747499965,1201080.1747499967,1280414.0,bear,10d_15%,2,False,0.014088155200241426,2497969.129279997,2022 Bear
2022-09-28,2392200.9357199967,1896264.9357199967,495936.0,bear,10d_15%,1,False,-0.035983658530649554,2497969.129279997,2022 Bear
2022-09-29,2380957.1201399965,1667748.1201399965,713209.0,bear,10d_15%,1,False,-0.004700196965944259,2497969.129279997,2022 Bear
2022-09-30,2332366.1937399963,1171776.1937399965,1160590.0,bear,10d_15%,3,False,-0.020408148466421472,2497969.129279997,2022 Bear
2022-10-10,2343477.1364899967,1294765.1364899967,1048712.0,bear,10d_15%,3,False,0.004763807149932964,2497969.129279997,2022 Bear
2022-10-11,2382362.1364899967,1294765.1364899967,1087597.0,bear,10d_15%,3,False,0.016592865103963073,2497969.129279997,2022 Bear
2022-10-12,2452567.1364899967,1294765.1364899967,1157802.0,bear,10d_15%,3,False,0.029468651690139458,2497969.129279997,2022 Bear
2022-10-13,2468863.1364899967,1294765.1364899967,1174098.0,bear,10d_15%,3,False,0.006644466427664142,2497969.129279997,2022 Bear
2022-10-14,2427491.2758899964,1341997.2758899964,1085494.0,bear,10d_15%,2,False,-0.01675745406398632,2497969.129279997,2022 Bear
2022-10-17,2483749.2682899963,1908757.2682899963,574992.0,bear,10d_15%,1,False,0.023175363371542357,2497969.129279997,2022 Bear
2022-10-18,2541205.2682899963,1908757.2682899963,632448.0,bear,10d_15%,1,False,0.023132769774123485,2541205.2682899963,2022 Bear
2022-10-19,2604421.2682899963,1908757.2682899963,695664.0,bear,10d_15%,1,False,0.024876384756804315,2604421.2682899963,2022 Bear
2022-10-20,2673973.2682899963,1908757.2682899963,765216.0,bear,10d_15%,1,False,0.026705357096728832,2673973.2682899963,2022 Bear
2022-10-21,2738503.3192899963,1925603.319289996,812900.0,bear,10d_15%,1,False,0.024132646262865265,2738503.3192899963,2022 Bear
2022-10-24,2737953.3192899963,1925603.319289996,812350.0,severe_bear,5d_10%,1,False,-0.00020083963241013247,2738503.3192899963,2022 Bear
2022-10-25,2705334.771789996,2705334.771789996,0.0,severe_bear,5d_10%,0,False,-0.01191347831615297,2738503.3192899963,2022 Bear
2022-10-26,2705334.771789996,2705334.771789996,0.0,severe_bear,5d_10%,0,False,0.0,2738503.3192899963,2022 Bear
2022-10-27,2705334.771789996,2705334.771789996,0.0,severe_bear,5d_10%,0,False,0.0,2738503.3192899963,2022 Bear
2022-10-28,2705334.771789996,2705334.771789996,0.0,severe_bear,5d_10%,0,False,0.0,2738503.3192899963,2022 Bear
2022-10-31,2705334.771789996,2705334.771789996,0.0,severe_bear,5d_10%,0,False,0.0,2738503.3192899963,2022 Bear
2022-11-01,2705334.771789996,2705334.771789996,0.0,severe_bear,5d_10%,0,False,0.0,2738503.3192899963,2022 Bear
2022-11-02,2705334.771789996,2705334.771789996,0.0,bear,10d_15%,0,False,0.0,2738503.3192899963,2022 Bear
