window,symbol,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,002178.SZ,2022-03-15,2022-03-22,6.28,7.19,0.14490445859872603,0.14180445859872604,13800,0.0031
2022 Bear,000736.SZ,2022-03-15,2022-03-22,6.45,7.86,0.21860465116279082,0.21550465116279083,13400,0.0031
2022 Bear,002329.SZ,2022-03-15,2022-03-22,4.47,5.02,0.12304250559284102,0.11994250559284102,19400,0.0031
2022 Bear,000573.SZ,2022-03-15,2022-03-22,3.46,4.08,0.17919075144508678,0.1760907514450868,25100,0.0031
2022 Bear,000509.SZ,2022-03-16,2022-03-23,4.07,4.3,0.05651105651105648,0.05341105651105648,300,0.0031
2022 Bear,001227.SZ,2022-03-16,2022-03-23,5.77,5.9,0.022530329289428108,0.01943032928942811,200,0.0031
2022 Bear,000665.SZ,2022-03-16,2022-03-23,6.31,7.67,0.2155309033280508,0.2124309033280508,200,0.0031
2022 Bear,000862.SZ,2022-03-16,2022-03-23,9.07,8.92,-0.016538037486218293,-0.019638037486218292,100,0.0031
2022 Bear,000591.SZ,2022-03-16,2022-03-23,9.08,9.12,0.004405286343612147,0.001305286343612147,100,0.0031
2022 Bear,000683.SZ,2022-03-16,2022-03-23,8.67,9.09,0.04844290657439454,0.04534290657439454,100,0.0031
2022 Bear,002212.SZ,2022-03-16,2022-03-23,11.8,11.87,0.0059322033898303594,0.0028322033898303596,100,0.0031
2022 Bear,000503.SZ,2022-03-16,2022-03-23,10.45,11.26,0.0775119617224882,0.07441196172248819,100,0.0031
2022 Bear,000965.SZ,2022-03-17,2022-03-24,3.69,5.76,0.5609756097560976,0.25,300,0.0031
2022 Bear,300323.SZ,2022-03-17,2022-03-24,8.36,8.1,-0.031100478468899517,-0.034200478468899516,100,0.0031
2022 Bear,000620.SZ,2022-03-17,2022-03-24,3.0,3.26,0.08666666666666667,0.08356666666666666,300,0.0031
2022 Bear,000021.SZ,2022-03-17,2022-03-24,11.35,11.47,0.010572687224669641,0.007472687224669641,100,0.0031
2022 Bear,000838.SZ,2022-03-17,2022-03-24,10.0,10.0,0.0,-0.0031,100,0.0031
2022 Bear,000426.SZ,2022-03-17,2022-03-24,8.12,7.97,-0.018472906403940836,-0.021572906403940835,100,0.0031
2022 Bear,002330.SZ,2022-03-17,2022-03-24,8.33,9.11,0.09363745498199272,0.09053745498199271,100,0.0031
2022 Bear,000925.SZ,2022-03-17,2022-03-24,10.58,10.34,-0.022684310018903586,-0.025784310018903585,100,0.0031
2022 Bear,000766.SZ,2022-03-17,2022-03-24,5.42,5.19,-0.04243542435424341,-0.04553542435424341,200,0.0031
2022 Bear,000505.SZ,2022-03-22,2022-03-29,9.45,12.75,0.3492063492063493,0.25,10000,0.0031
2022 Bear,000639.SZ,2022-03-22,2022-03-29,6.13,5.91,-0.03588907014681886,-0.038989070146818856,15400,0.0031
2022 Bear,000517.SZ,2022-03-22,2022-03-29,3.26,3.22,-0.012269938650306678,-0.015369938650306678,29100,0.0031
2022 Bear,000810.SZ,2022-03-22,2022-03-29,14.94,14.3,-0.042838018741633066,-0.045938018741633065,6300,0.0031
2022 Bear,000788.SZ,2022-03-22,2022-03-29,13.13,11.39,-0.13252094440213258,-0.13562094440213257,7200,0.0031
2022 Bear,000705.SZ,2022-03-22,2022-03-29,10.3,9.7,-0.058252427184466105,-0.0613524271844661,9200,0.0031
2022 Bear,000933.SZ,2022-03-22,2022-03-29,13.71,14.63,0.06710430342815465,0.06400430342815465,6900,0.0031
2022 Bear,000950.SZ,2022-03-22,2022-03-29,6.25,6.42,0.02719999999999989,0.024099999999999892,15100,0.0031
2022 Bear,002178.SZ,2022-03-22,2022-03-29,6.98,6.62,-0.0515759312320917,-0.0546759312320917,13500,0.0031
2022 Bear,000707.SZ,2022-03-22,2022-03-29,10.28,10.0,-0.027237354085603016,-0.030337354085603015,9200,0.0031
2022 Bear,001227.SZ,2022-03-23,2022-03-30,5.94,5.94,0.0,-0.0031,100,0.0031
2022 Bear,002651.SZ,2022-03-23,2022-03-30,8.4,8.05,-0.04166666666666663,-0.04476666666666663,100,0.0031
2022 Bear,000736.SZ,2022-03-23,2022-03-30,8.4,12.85,0.5297619047619047,0.25,100,0.0031
2022 Bear,000510.SZ,2022-03-23,2022-03-30,7.47,8.24,0.10307898259705506,0.09997898259705505,100,0.0031
2022 Bear,000965.SZ,2022-03-24,2022-03-31,6.22,8.55,0.37459807073955,0.25,200,0.0031
2022 Bear,002212.SZ,2022-03-24,2022-03-31,11.76,11.31,-0.03826530612244894,-0.04136530612244894,100,0.0031
2022 Bear,000608.SZ,2022-03-24,2022-03-31,4.2,4.15,-0.011904761904761862,-0.015004761904761863,400,0.0031
2022 Bear,000838.SZ,2022-03-24,2022-03-31,9.84,9.14,-0.07113821138211374,-0.07423821138211374,100,0.0031
2022 Bear,300323.SZ,2022-03-24,2022-03-31,8.25,7.79,-0.055757575757575784,-0.05885757575757578,200,0.0031
2022 Bear,002037.SZ,2022-03-24,2022-03-31,11.71,12.97,0.10760034158838594,0.10450034158838593,100,0.0031
2022 Bear,000953.SZ,2022-03-24,2022-03-31,7.45,7.1,-0.046979865771812124,-0.05007986577181212,200,0.0031
2022 Bear,000509.SZ,2022-03-24,2022-03-31,4.44,3.88,-0.12612612612612628,-0.12922612612612627,400,0.0031
2022 Bear,000858.SZ,2022-03-29,2022-04-07,152.97,160.45,0.048898476825521175,0.04579847682552118,600,0.0031
2022 Bear,000545.SZ,2022-03-29,2022-04-07,4.71,4.35,-0.07643312101910837,-0.07953312101910838,20300,0.0031
2022 Bear,000707.SZ,2022-03-29,2022-04-07,10.1,12.08,0.196039603960396,0.192939603960396,9500,0.0031
2022 Bear,000505.SZ,2022-03-29,2022-04-07,12.95,10.8,-0.1660231660231659,-0.1691231660231659,7400,0.0031
2022 Bear,000788.SZ,2022-03-29,2022-04-07,11.18,10.01,-0.10465116279069764,-0.10775116279069764,8500,0.0031
2022 Bear,000967.SZ,2022-03-29,2022-04-07,5.07,5.06,-0.0019723865877713243,-0.005072386587771325,18900,0.0031
2022 Bear,002178.SZ,2022-03-29,2022-04-07,6.62,5.78,-0.12688821752265855,-0.12998821752265854,14400,0.0031
2022 Bear,000514.SZ,2022-03-29,2022-04-07,5.86,6.2,0.058020477815699634,0.054920477815699635,16300,0.0031
2022 Bear,001289.SZ,2022-03-29,2022-04-07,25.57,24.66,-0.03558858036761836,-0.03868858036761836,3700,0.0031
2022 Bear,300034.SZ,2022-03-29,2022-04-07,35.9,34.72,-0.032869080779944326,-0.035969080779944325,2600,0.0031
2022 Bear,000797.SZ,2022-03-30,2022-04-08,3.89,5.7,0.46529562982005146,0.25,300,0.0031
2022 Bear,001227.SZ,2022-03-30,2022-04-08,5.85,6.21,0.06153846153846154,0.05843846153846154,200,0.0031
2022 Bear,000014.SZ,2022-03-30,2022-04-08,12.22,12.13,-0.0073649754500818565,-0.010464975450081857,100,0.0031
2022 Bear,000573.SZ,2022-03-30,2022-04-08,4.44,4.59,0.03378378378378377,0.030683783783783773,200,0.0031
2022 Bear,000031.SZ,2022-03-30,2022-04-08,4.62,4.99,0.0800865800865802,0.0769865800865802,200,0.0031
2022 Bear,000006.SZ,2022-03-30,2022-04-08,5.27,5.21,-0.011385199240986688,-0.014485199240986688,200,0.0031
2022 Bear,000897.SZ,2022-03-30,2022-04-08,3.85,3.42,-0.11168831168831173,-0.11478831168831173,300,0.0031
2022 Bear,000856.SZ,2022-03-30,2022-04-08,9.91,11.28,0.13824419778002017,0.13514419778002018,100,0.0031
2022 Bear,000736.SZ,2022-03-31,2022-04-11,15.0,21.18,0.4119999999999999,0.25,100,0.0031
2022 Bear,000965.SZ,2022-03-31,2022-04-11,8.6,10.42,0.21162790697674416,0.20852790697674417,100,0.0031
2022 Bear,002212.SZ,2022-03-31,2022-04-11,11.3,10.37,-0.08230088495575238,-0.08540088495575239,100,0.0031
2022 Bear,300323.SZ,2022-03-31,2022-04-11,7.77,7.15,-0.07979407979407971,-0.08289407979407971,200,0.0031
2022 Bear,000608.SZ,2022-03-31,2022-04-11,4.32,3.62,-0.1620370370370371,-0.16513703703703708,300,0.0031
2022 Bear,002205.SZ,2022-03-31,2022-04-11,10.45,16.84,0.6114832535885169,0.25,100,0.0031
2022 Bear,000766.SZ,2022-03-31,2022-04-11,5.91,5.02,-0.15059221658206434,-0.15369221658206433,200,0.0031
2022 Bear,000517.SZ,2022-03-31,2022-04-11,3.32,3.68,0.10843373493975905,0.10533373493975905,400,0.0031
2022 Bear,000620.SZ,2022-03-31,2022-04-11,3.23,3.83,0.18575851393188847,0.18265851393188848,400,0.0031
2022 Bear,002037.SZ,2022-03-31,2022-04-11,12.7,13.9,0.09448818897637801,0.091388188976378,100,0.0031
2022 Bear,000921.SZ,2022-04-07,2022-04-14,11.11,12.48,0.12331233123312346,0.12021233123312346,8300,0.0031
2022 Bear,000514.SZ,2022-04-07,2022-04-14,6.16,6.8,0.10389610389610393,0.10079610389610393,15000,0.0031
2022 Bear,000665.SZ,2022-04-07,2022-04-14,9.35,8.45,-0.09625668449197866,-0.09935668449197867,9900,0.0031
2022 Bear,000788.SZ,2022-04-07,2022-04-14,10.03,9.2,-0.0827517447657029,-0.08585174476570291,9200,0.0031
2022 Bear,000505.SZ,2022-04-07,2022-04-14,10.61,11.91,0.12252591894439213,0.11942591894439213,8700,0.0031
2022 Bear,000545.SZ,2022-04-07,2022-04-14,4.32,4.33,0.0023148148148146586,-0.0007851851851853413,21500,0.0031
2022 Bear,001205.SZ,2022-04-07,2022-04-14,41.8,30.01,-0.28205741626794245,-0.25,2200,0.0031
2022 Bear,000812.SZ,2022-04-07,2022-04-14,6.22,6.1,-0.019292604501607746,-0.022392604501607745,14900,0.0031
2022 Bear,300065.SZ,2022-04-07,2022-04-14,12.8,13.59,0.06171874999999982,0.058618749999999824,7200,0.0031
2022 Bear,000519.SZ,2022-04-07,2022-04-14,21.58,20.33,-0.05792400370713624,-0.06102400370713624,4300,0.0031
2022 Bear,000797.SZ,2022-04-08,2022-04-15,5.15,3.82,-0.25825242718446606,-0.25,200,0.0031
2022 Bear,000014.SZ,2022-04-08,2022-04-15,11.51,10.91,-0.052128583840138965,-0.05522858384013896,100,0.0031
